id_funcional,nome_completo,cpf,vencimento_reciclagem,certificacoes,soft_skills,perfil_comportamental,nota_performance,cep_base,escala_atual,ultimo_posto
VIG-10097,Otto das Neves,148.***.***-41,2026-08-31,"Transporte de Valores, Monitoramento de CFTV","Atenção Concentrada, Inteligência Emocional, Empatia, Resolução de Conflitos",Possui postura exemplar e uniforme sempre impecável.,8.9,01310-100,12x36 Noite,Câmara - Unidade 4
VIG-10098,Lucas Barbosa,809.***.***-14,2025-11-26,Grandes Eventos,"Pontualidade Extrema, Empatia, Perfil Analítico, Resolução de Conflitos",Demonstra facilidade em lidar com público diverso.,7.7,08410-000,12x36 Noite,Cirino Ltda. - Unidade 10
VIG-10099,Srta. Sarah Dias,795.***.***-93,2027-09-21,Grandes Eventos,"Empatia, Perfil Analítico, Comunicação Assertiva, Resolução de Conflitos",Excelente pontualidade e assiduidade.,8.5,01415-000,12x36 Noite,Farias da Costa S.A. - Unidade 9
VIG-10100,Liz Pires,650.***.***-15,2026-03-13,"Grandes Eventos, Monitoramento de CFTV, Escolta Armada","Discrição, Atenção Concentrada, Resolução de Conflitos, Trabalho sob Pressão, Empatia, Inteligência Emocional",Possui postura exemplar e uniforme sempre impecável.,8.9,01415-000,12x36 Noite,Pastor - Unidade 10
VIG-10101,Srta. Daniela da Mota,071.***.***-00,2026-06-13,"Grandes Eventos, Monitoramento de CFTV, Vigilância Patrimonial","Inteligência Emocional, Empatia, Trabalho sob Pressão, Comunicação Assertiva, Resolução de Conflitos, Discrição",Profissional muito elogiado pelo cliente.,7.0,01202-001,12x36 Dia,Garcia da Mata - EI - Unidade 9
VIG-10102,Vicente Campos,748.***.***-10,2027-08-08,Vigilância Patrimonial,"Empatia, Proatividade","Focado e observador, antecipa riscos no perímetro.",7.7,01202-001,12x36 Noite,Castro S/A - Unidade 8
VIG-10103,Maria Isis Barbosa,458.***.***-11,2027-08-01,Grandes Eventos,"Pontualidade Extrema, Inteligência Emocional",Excelente pontualidade e assiduidade.,7.3,01415-000,12x36 Dia,Fogaça Gomes Ltda. - Unidade 3
VIG-10104,Davi Miguel Fonseca,509.***.***-03,2026-08-08,"Escolta Armada, Grandes Eventos","Trabalho sob Pressão, Comunicação Assertiva, Empatia, Perfil Analítico, Resolução de Conflitos, Proatividade",Demonstra facilidade em lidar com público diverso.,7.0,01202-001,12x36 Dia,Leão - Unidade 4
VIG-10105,Sr. Arthur da Rocha,341.***.***-40,2026-12-04,Vigilância Patrimonial,"Liderança de Equipe, Pontualidade Extrema, Empatia, Resolução de Conflitos, Proatividade, Trabalho sob Pressão","Focado e observador, antecipa riscos no perímetro.",8.2,01013-001,12x36 Dia,Campos - Unidade 9
VIG-10106,João Jesus,346.***.***-09,2026-03-25,"Monitoramento de CFTV, Grandes Eventos","Resolução de Conflitos, Discrição, Liderança de Equipe, Empatia",Possui postura exemplar e uniforme sempre impecável.,9.4,01310-100,12x36 Noite,Casa Grande e Filhos - Unidade 1
VIG-10107,Lavínia Aragão,365.***.***-08,2027-06-15,Transporte de Valores,"Proatividade, Pontualidade Extrema, Liderança de Equipe, Perfil Analítico, Inteligência Emocional",Excelente pontualidade e assiduidade.,9.6,01202-001,5x2 Comercial,Peixoto - Unidade 5
VIG-10108,Fernando da Cruz,913.***.***-75,2026-09-20,Vigilância Patrimonial,"Atenção Concentrada, Trabalho sob Pressão, Discrição, Proatividade, Liderança de Equipe",Profissional muito elogiado pelo cliente.,7.2,04794-000,12x36 Noite,Marques - Unidade 8
VIG-10109,Vitor Hugo Araújo,764.***.***-70,2025-10-26,"Grandes Eventos, Monitoramento de CFTV, Segurança Pessoal (VSPP)","Empatia, Inteligência Emocional, Liderança de Equipe, Discrição, Pontualidade Extrema, Trabalho sob Pressão",Possui postura exemplar e uniforme sempre impecável.,10.0,01310-100,5x2 Comercial,Leão - Unidade 4
VIG-10110,Henrique Fonseca,891.***.***-21,2025-06-24,"Escolta Armada, Grandes Eventos","Pontualidade Extrema, Comunicação Assertiva, Proatividade, Trabalho sob Pressão",Possui postura exemplar e uniforme sempre impecável.,8.2,04801-010,12x36 Dia,Marques - Unidade 3
VIG-10111,Letícia Ribeiro,260.***.***-47,2026-06-20,"Escolta Armada, Transporte de Valores, Segurança Pessoal (VSPP)","Discrição, Perfil Analítico, Liderança de Equipe","Focado e observador, antecipa riscos no perímetro.",7.9,02011-000,12x36 Dia,da Rocha Lima e Filhos - Unidade 2
VIG-10112,Ana Laura Barros,162.***.***-33,2026-07-07,Grandes Eventos,"Perfil Analítico, Comunicação Assertiva, Trabalho sob Pressão, Proatividade",Profissional muito elogiado pelo cliente.,7.2,01202-001,12x36 Noite,Sales e Filhos - Unidade 9
VIG-10113,Luiza Fernandes,250.***.***-80,2025-10-15,"Segurança Pessoal (VSPP), Transporte de Valores, Monitoramento de CFTV","Discrição, Comunicação Assertiva, Atenção Concentrada, Pontualidade Extrema",Profissional muito elogiado pelo cliente.,7.6,01013-001,5x2 Comercial,Borges - Unidade 6
VIG-10114,João Pedro Cunha,512.***.***-76,2026-09-30,"Transporte de Valores, Monitoramento de CFTV, Segurança Pessoal (VSPP)","Pontualidade Extrema, Atenção Concentrada",Possui postura exemplar e uniforme sempre impecável.,8.5,02011-000,12x36 Dia,Melo - Unidade 10
VIG-10115,Sara Cavalcante,237.***.***-88,2027-03-19,"Escolta Armada, Transporte de Valores, Grandes Eventos","Resolução de Conflitos, Empatia, Pontualidade Extrema, Trabalho sob Pressão, Perfil Analítico",Profissional muito elogiado pelo cliente.,9.0,05407-002,12x36 Dia,Moraes S.A. - Unidade 6
VIG-10116,Eduarda Cavalcante,509.***.***-01,2027-10-27,"Segurança Pessoal (VSPP), Grandes Eventos","Comunicação Assertiva, Resolução de Conflitos, Pontualidade Extrema, Discrição, Proatividade","Focado e observador, antecipa riscos no perímetro.",7.3,01001-000,5x2 Comercial,Sá Lopes e Filhos - Unidade 4
VIG-10117,Dra. Fernanda Mendonça,326.***.***-87,2027-06-12,"Grandes Eventos, Escolta Armada","Atenção Concentrada, Inteligência Emocional, Discrição, Comunicação Assertiva, Perfil Analítico, Empatia",Demonstra facilidade em lidar com público diverso.,9.0,01310-100,12x36 Dia,Melo - Unidade 1
VIG-10118,Brayan da Paz,578.***.***-77,2025-09-16,"Monitoramento de CFTV, Transporte de Valores","Inteligência Emocional, Resolução de Conflitos, Pontualidade Extrema, Comunicação Assertiva, Proatividade, Atenção Concentrada",Profissional muito elogiado pelo cliente.,7.1,01001-000,5x2 Comercial,Souza - EI - Unidade 1
VIG-10119,Guilherme Ribeiro,764.***.***-30,2026-04-26,Escolta Armada,"Trabalho sob Pressão, Inteligência Emocional, Atenção Concentrada, Proatividade",Possui postura exemplar e uniforme sempre impecável.,8.6,01013-001,5x2 Comercial,Barros Viana - EI - Unidade 2
VIG-10120,Dr. Caleb Dias,890.***.***-31,2025-11-17,Grandes Eventos,"Atenção Concentrada, Liderança de Equipe, Perfil Analítico, Trabalho sob Pressão, Inteligência Emocional, Resolução de Conflitos",Possui postura exemplar e uniforme sempre impecável.,7.7,01202-001,12x36 Noite,Oliveira - Unidade 10
VIG-10121,Arthur Miguel Albuquerque,058.***.***-75,2026-05-16,"Transporte de Valores, Grandes Eventos, Escolta Armada","Empatia, Liderança de Equipe",Profissional muito elogiado pelo cliente.,8.9,02011-000,12x36 Noite,Dias - Unidade 5
VIG-10122,Dr. Théo Câmara,234.***.***-74,2025-12-30,Monitoramento de CFTV,"Proatividade, Trabalho sob Pressão, Liderança de Equipe",Possui postura exemplar e uniforme sempre impecável.,9.8,04801-010,12x36 Noite,Farias - Unidade 8
VIG-10123,Enzo Gabriel Santos,657.***.***-10,2027-04-28,"Vigilância Patrimonial, Segurança Pessoal (VSPP), Escolta Armada","Comunicação Assertiva, Pontualidade Extrema, Trabalho sob Pressão, Perfil Analítico, Atenção Concentrada",Excelente pontualidade e assiduidade.,8.1,04794-000,12x36 Noite,Brito - Unidade 8
VIG-10124,Luiza Aparecida,132.***.***-64,2025-11-08,"Segurança Pessoal (VSPP), Transporte de Valores","Atenção Concentrada, Perfil Analítico, Discrição, Proatividade, Resolução de Conflitos, Trabalho sob Pressão",Profissional muito elogiado pelo cliente.,8.4,08410-000,12x36 Noite,Lima - Unidade 1
VIG-10125,Caio Barbosa,687.***.***-57,2028-01-25,"Grandes Eventos, Transporte de Valores","Proatividade, Perfil Analítico",Profissional muito elogiado pelo cliente.,6.6,01001-000,12x36 Dia,Aparecida e Filhos - Unidade 4
VIG-10126,Sofia Sousa,169.***.***-52,2026-03-09,"Vigilância Patrimonial, Transporte de Valores, Monitoramento de CFTV","Trabalho sob Pressão, Resolução de Conflitos, Empatia, Comunicação Assertiva, Pontualidade Extrema, Discrição",Demonstra facilidade em lidar com público diverso.,7.3,02011-000,12x36 Dia,Caldeira - Unidade 7
VIG-10127,Felipe Melo,540.***.***-66,2026-12-02,"Transporte de Valores, Grandes Eventos, Vigilância Patrimonial","Inteligência Emocional, Discrição, Liderança de Equipe, Pontualidade Extrema","Focado e observador, antecipa riscos no perímetro.",8.8,01310-100,12x36 Noite,Rios - Unidade 2
VIG-10128,Mateus Cavalcanti,738.***.***-88,2025-03-22,Escolta Armada,"Inteligência Emocional, Comunicação Assertiva, Trabalho sob Pressão",Profissional muito elogiado pelo cliente.,6.6,05407-002,12x36 Dia,da Mata Vasconcelos S/A - Unidade 2
VIG-10129,Giovanna Guerra,937.***.***-43,2025-05-26,"Grandes Eventos, Vigilância Patrimonial, Transporte de Valores","Empatia, Pontualidade Extrema, Trabalho sob Pressão, Inteligência Emocional, Proatividade",Excelente pontualidade e assiduidade.,9.7,01202-001,12x36 Noite,Abreu - Unidade 4
VIG-10130,Sra. Maria Luísa Rodrigues,671.***.***-40,2025-10-09,Transporte de Valores,"Pontualidade Extrema, Discrição, Liderança de Equipe, Atenção Concentrada",Possui postura exemplar e uniforme sempre impecável.,7.5,04801-010,12x36 Dia,Camargo - Unidade 4
VIG-10131,Vitor Gabriel Sousa,730.***.***-53,2026-01-12,Segurança Pessoal (VSPP),"Empatia, Liderança de Equipe",Possui postura exemplar e uniforme sempre impecável.,9.1,05407-002,5x2 Comercial,da Costa - Unidade 6
VIG-10132,Arthur Miguel Pacheco,150.***.***-77,2026-01-15,Segurança Pessoal (VSPP),"Pontualidade Extrema, Proatividade",Excelente pontualidade e assiduidade.,7.4,01001-000,12x36 Noite,Peixoto - Unidade 10
VIG-10133,Yago Gomes,749.***.***-10,2026-06-10,Transporte de Valores,"Proatividade, Comunicação Assertiva, Liderança de Equipe, Perfil Analítico, Inteligência Emocional, Trabalho sob Pressão","Focado e observador, antecipa riscos no perímetro.",8.4,04801-010,5x2 Comercial,Oliveira - Unidade 7
VIG-10134,Agatha Mendonça,210.***.***-41,2026-05-23,Segurança Pessoal (VSPP),"Pontualidade Extrema, Trabalho sob Pressão",Demonstra facilidade em lidar com público diverso.,6.7,04801-010,12x36 Dia,Siqueira - Unidade 9
VIG-10135,Dr. Gabriel Dias,579.***.***-85,2026-12-01,"Grandes Eventos, Transporte de Valores, Monitoramento de CFTV","Comunicação Assertiva, Empatia, Pontualidade Extrema, Resolução de Conflitos, Atenção Concentrada",Profissional muito elogiado pelo cliente.,9.2,04794-000,5x2 Comercial,da Mota Cunha Ltda. - Unidade 4
VIG-10136,Dr. Vinicius Castro,620.***.***-80,2026-07-12,"Grandes Eventos, Transporte de Valores, Monitoramento de CFTV","Atenção Concentrada, Pontualidade Extrema, Perfil Analítico, Inteligência Emocional, Resolução de Conflitos, Comunicação Assertiva",Excelente pontualidade e assiduidade.,7.7,01013-001,12x36 Noite,Melo - EI - Unidade 1
VIG-10137,Marcelo Sales,825.***.***-03,2027-04-25,"Transporte de Valores, Monitoramento de CFTV, Vigilância Patrimonial","Discrição, Inteligência Emocional, Empatia, Liderança de Equipe",Excelente pontualidade e assiduidade.,8.0,05407-002,12x36 Dia,Rezende - Unidade 4
VIG-10138,Sr. Rael Araújo,548.***.***-29,2027-10-04,Grandes Eventos,"Pontualidade Extrema, Perfil Analítico, Atenção Concentrada","Focado e observador, antecipa riscos no perímetro.",9.4,04794-000,12x36 Dia,Pimenta - Unidade 4
VIG-10139,Bianca Correia,187.***.***-94,2026-10-03,Grandes Eventos,"Resolução de Conflitos, Inteligência Emocional, Trabalho sob Pressão, Perfil Analítico, Discrição",Demonstra facilidade em lidar com público diverso.,6.7,04801-010,12x36 Noite,Pereira - Unidade 2
VIG-10140,Melissa Lima,329.***.***-89,2027-03-21,"Grandes Eventos, Segurança Pessoal (VSPP), Vigilância Patrimonial","Discrição, Pontualidade Extrema, Liderança de Equipe, Perfil Analítico, Inteligência Emocional",Demonstra facilidade em lidar com público diverso.,8.0,04801-010,5x2 Comercial,Fernandes - EI - Unidade 9
VIG-10141,Sr. Murilo Ferreira,709.***.***-31,2026-04-28,"Transporte de Valores, Vigilância Patrimonial, Segurança Pessoal (VSPP)","Liderança de Equipe, Pontualidade Extrema",Possui postura exemplar e uniforme sempre impecável.,7.4,04794-000,12x36 Dia,Santos Ribeiro S.A. - Unidade 4
VIG-10142,Pedro Miguel da Luz,291.***.***-22,2025-07-01,"Escolta Armada, Transporte de Valores","Comunicação Assertiva, Pontualidade Extrema, Perfil Analítico, Discrição, Atenção Concentrada, Resolução de Conflitos",Demonstra facilidade em lidar com público diverso.,6.6,01013-001,12x36 Noite,Vasconcelos Santos S.A. - Unidade 6
VIG-10143,Sophie Costela,760.***.***-10,2026-12-13,"Escolta Armada, Vigilância Patrimonial","Trabalho sob Pressão, Liderança de Equipe",Profissional muito elogiado pelo cliente.,7.9,04801-010,12x36 Noite,Freitas - Unidade 3
VIG-10144,Ana Beatriz Farias,457.***.***-62,2025-12-16,Escolta Armada,"Resolução de Conflitos, Perfil Analítico, Pontualidade Extrema",Profissional muito elogiado pelo cliente.,9.7,04794-000,12x36 Noite,Vasconcelos e Filhos - Unidade 3
VIG-10145,Srta. Laís Vasconcelos,249.***.***-98,2028-02-04,Segurança Pessoal (VSPP),"Proatividade, Pontualidade Extrema, Liderança de Equipe, Perfil Analítico","Focado e observador, antecipa riscos no perímetro.",8.8,01001-000,5x2 Comercial,Andrade - Unidade 1
VIG-10146,Thales Gonçalves,790.***.***-66,2026-06-03,"Monitoramento de CFTV, Escolta Armada","Comunicação Assertiva, Trabalho sob Pressão, Atenção Concentrada, Proatividade, Empatia, Inteligência Emocional",Profissional muito elogiado pelo cliente.,7.5,01001-000,5x2 Comercial,Santos Montenegro e Filhos - Unidade 3
VIG-10147,Lucca Borges,196.***.***-82,2026-11-10,"Segurança Pessoal (VSPP), Transporte de Valores, Grandes Eventos","Atenção Concentrada, Proatividade, Resolução de Conflitos, Comunicação Assertiva, Trabalho sob Pressão",Possui postura exemplar e uniforme sempre impecável.,9.7,05407-002,12x36 Dia,Ribeiro Souza S/A - Unidade 8
VIG-10148,Joana Pereira,931.***.***-52,2027-09-20,Escolta Armada,"Proatividade, Atenção Concentrada, Comunicação Assertiva, Inteligência Emocional, Pontualidade Extrema, Resolução de Conflitos",Possui postura exemplar e uniforme sempre impecável.,8.0,01013-001,12x36 Noite,da Cunha Almeida - EI - Unidade 7
VIG-10149,Srta. Emanuella Lima,198.***.***-21,2025-11-06,"Vigilância Patrimonial, Segurança Pessoal (VSPP), Transporte de Valores","Liderança de Equipe, Pontualidade Extrema, Perfil Analítico",Excelente pontualidade e assiduidade.,8.9,08410-000,5x2 Comercial,Camargo - Unidade 1
VIG-10150,Marcelo Moura,921.***.***-03,2025-03-21,Transporte de Valores,"Liderança de Equipe, Proatividade, Resolução de Conflitos, Atenção Concentrada, Comunicação Assertiva",Demonstra facilidade em lidar com público diverso.,8.5,04801-010,5x2 Comercial,Campos S/A - Unidade 10
VIG-10151,Kamilly Rezende,568.***.***-65,2025-10-01,"Transporte de Valores, Escolta Armada, Vigilância Patrimonial","Discrição, Empatia",Demonstra facilidade em lidar com público diverso.,7.5,02011-000,12x36 Dia,Viana - Unidade 3
VIG-10152,Maria Luísa Aparecida,346.***.***-00,2026-05-15,"Escolta Armada, Vigilância Patrimonial, Grandes Eventos","Atenção Concentrada, Comunicação Assertiva, Discrição, Liderança de Equipe, Inteligência Emocional, Proatividade",Possui postura exemplar e uniforme sempre impecável.,9.0,01001-000,12x36 Noite,Rezende - EI - Unidade 8
VIG-10153,Guilherme Pires,429.***.***-65,2026-12-23,"Monitoramento de CFTV, Grandes Eventos","Resolução de Conflitos, Trabalho sob Pressão, Proatividade, Inteligência Emocional, Pontualidade Extrema",Excelente pontualidade e assiduidade.,7.4,04801-010,12x36 Dia,da Rosa Correia - ME - Unidade 6
VIG-10154,Murilo Aragão,517.***.***-52,2025-07-18,Segurança Pessoal (VSPP),"Pontualidade Extrema, Proatividade, Atenção Concentrada, Empatia",Demonstra facilidade em lidar com público diverso.,9.0,04801-010,12x36 Dia,Pereira - Unidade 5
VIG-10155,Maria Julia Moreira,049.***.***-70,2027-12-14,"Monitoramento de CFTV, Vigilância Patrimonial","Proatividade, Resolução de Conflitos, Empatia, Inteligência Emocional",Excelente pontualidade e assiduidade.,9.9,01310-100,5x2 Comercial,da Paz - Unidade 1
VIG-10156,Nathan Aparecida,079.***.***-69,2025-04-10,"Transporte de Valores, Grandes Eventos","Empatia, Discrição, Trabalho sob Pressão, Comunicação Assertiva, Resolução de Conflitos",Demonstra facilidade em lidar com público diverso.,8.5,01202-001,12x36 Noite,Dias Castro e Filhos - Unidade 1
VIG-10157,Rael Rodrigues,810.***.***-77,2027-05-11,Transporte de Valores,"Pontualidade Extrema, Liderança de Equipe, Atenção Concentrada, Trabalho sob Pressão, Comunicação Assertiva",Demonstra facilidade em lidar com público diverso.,7.9,05407-002,12x36 Dia,da Rosa Silva - ME - Unidade 8
VIG-10158,Luiz Fernando da Luz,196.***.***-02,2026-02-27,"Grandes Eventos, Transporte de Valores","Proatividade, Empatia, Resolução de Conflitos",Excelente pontualidade e assiduidade.,8.4,01415-000,12x36 Dia,Farias - EI - Unidade 10
VIG-10159,Dra. Emanuelly Porto,825.***.***-80,2026-11-15,Transporte de Valores,"Inteligência Emocional, Perfil Analítico, Atenção Concentrada",Demonstra facilidade em lidar com público diverso.,8.9,01013-001,5x2 Comercial,Vargas e Filhos - Unidade 1
VIG-10160,Henry Gabriel Siqueira,329.***.***-40,2025-08-22,"Transporte de Valores, Segurança Pessoal (VSPP)","Discrição, Proatividade, Empatia, Resolução de Conflitos, Comunicação Assertiva","Focado e observador, antecipa riscos no perímetro.",7.0,01013-001,12x36 Dia,Leão - Unidade 2
VIG-10161,Luiz Felipe Pires,416.***.***-15,2027-08-20,"Grandes Eventos, Transporte de Valores","Proatividade, Perfil Analítico, Comunicação Assertiva, Resolução de Conflitos",Demonstra facilidade em lidar com público diverso.,7.5,08410-000,5x2 Comercial,Carvalho S/A - Unidade 5
VIG-10162,Dra. Anna Liz Castro,712.***.***-61,2025-04-17,Segurança Pessoal (VSPP),"Resolução de Conflitos, Trabalho sob Pressão, Empatia, Perfil Analítico",Demonstra facilidade em lidar com público diverso.,7.1,05407-002,5x2 Comercial,Camargo - Unidade 6
VIG-10163,Jade Souza,576.***.***-77,2026-11-05,"Grandes Eventos, Vigilância Patrimonial","Resolução de Conflitos, Perfil Analítico, Empatia",Excelente pontualidade e assiduidade.,8.1,02011-000,12x36 Dia,Sales Costela S.A. - Unidade 5
VIG-10164,Emilly Moraes,028.***.***-01,2025-04-02,"Vigilância Patrimonial, Escolta Armada, Segurança Pessoal (VSPP)","Comunicação Assertiva, Discrição, Perfil Analítico, Inteligência Emocional, Liderança de Equipe, Proatividade",Demonstra facilidade em lidar com público diverso.,8.6,08410-000,12x36 Noite,Sales - Unidade 8
VIG-10165,Thomas Câmara,126.***.***-07,2025-07-03,Monitoramento de CFTV,"Proatividade, Empatia, Trabalho sob Pressão","Focado e observador, antecipa riscos no perímetro.",10.0,01001-000,12x36 Noite,Mendes - Unidade 1
VIG-10166,Sofia Pimenta,742.***.***-16,2026-06-23,"Monitoramento de CFTV, Grandes Eventos, Escolta Armada","Discrição, Liderança de Equipe, Proatividade","Focado e observador, antecipa riscos no perímetro.",9.3,01310-100,12x36 Dia,das Neves Ltda. - Unidade 10
VIG-10167,Gabriela Fonseca,318.***.***-53,2027-01-28,"Vigilância Patrimonial, Monitoramento de CFTV","Comunicação Assertiva, Atenção Concentrada, Empatia, Trabalho sob Pressão, Pontualidade Extrema, Proatividade",Demonstra facilidade em lidar com público diverso.,9.1,02011-000,5x2 Comercial,Rodrigues - Unidade 2
VIG-10168,João Lucas Viana,217.***.***-07,2028-01-03,Escolta Armada,"Inteligência Emocional, Perfil Analítico, Trabalho sob Pressão, Pontualidade Extrema","Focado e observador, antecipa riscos no perímetro.",8.5,01001-000,12x36 Dia,Brito - Unidade 6
VIG-10169,Isabela da Mota,260.***.***-43,2026-10-25,Monitoramento de CFTV,"Inteligência Emocional, Atenção Concentrada, Pontualidade Extrema, Comunicação Assertiva, Discrição",Profissional muito elogiado pelo cliente.,7.6,04801-010,5x2 Comercial,Oliveira - Unidade 7
VIG-10170,Vitor Dias,487.***.***-17,2026-12-14,"Segurança Pessoal (VSPP), Transporte de Valores, Grandes Eventos","Liderança de Equipe, Pontualidade Extrema",Possui postura exemplar e uniforme sempre impecável.,9.1,04801-010,12x36 Dia,da Paz - Unidade 2
VIG-10171,Ian da Cunha,268.***.***-60,2026-06-18,Vigilância Patrimonial,"Trabalho sob Pressão, Pontualidade Extrema, Comunicação Assertiva, Atenção Concentrada, Discrição",Possui postura exemplar e uniforme sempre impecável.,8.7,01013-001,12x36 Noite,Rezende - Unidade 9
VIG-10172,Thiago Nunes,426.***.***-30,2027-08-14,Transporte de Valores,"Inteligência Emocional, Liderança de Equipe",Profissional muito elogiado pelo cliente.,6.8,02011-000,12x36 Dia,Pereira - Unidade 10
VIG-10173,Sr. Luiz Otávio Caldeira,367.***.***-20,2026-08-26,"Vigilância Patrimonial, Grandes Eventos","Discrição, Pontualidade Extrema, Perfil Analítico, Inteligência Emocional","Focado e observador, antecipa riscos no perímetro.",8.3,01001-000,12x36 Dia,Guerra Leão Ltda. - Unidade 4
VIG-10174,Sr. Matteo Sales,105.***.***-80,2026-10-01,"Vigilância Patrimonial, Transporte de Valores, Segurança Pessoal (VSPP)","Empatia, Atenção Concentrada",Possui postura exemplar e uniforme sempre impecável.,7.3,04794-000,12x36 Dia,Peixoto - Unidade 7
VIG-10175,Sr. Thiago Nascimento,748.***.***-96,2026-02-11,"Transporte de Valores, Segurança Pessoal (VSPP)","Inteligência Emocional, Discrição, Pontualidade Extrema, Proatividade, Empatia, Resolução de Conflitos",Demonstra facilidade em lidar com público diverso.,9.2,04801-010,12x36 Noite,da Mota Albuquerque e Filhos - Unidade 6
VIG-10176,Milena Moraes,631.***.***-00,2026-09-09,"Escolta Armada, Segurança Pessoal (VSPP), Vigilância Patrimonial","Liderança de Equipe, Perfil Analítico, Resolução de Conflitos",Excelente pontualidade e assiduidade.,7.2,01415-000,12x36 Dia,Brito Azevedo Ltda. - Unidade 1
VIG-10177,Esther Caldeira,420.***.***-06,2026-01-25,"Vigilância Patrimonial, Monitoramento de CFTV","Liderança de Equipe, Trabalho sob Pressão, Empatia, Resolução de Conflitos, Inteligência Emocional",Demonstra facilidade em lidar com público diverso.,6.6,04794-000,12x36 Dia,Jesus - Unidade 5
VIG-10178,Ana Vitória Azevedo,649.***.***-16,2028-03-15,"Grandes Eventos, Vigilância Patrimonial","Inteligência Emocional, Pontualidade Extrema",Excelente pontualidade e assiduidade.,9.2,01013-001,12x36 Dia,Silva - ME - Unidade 10
VIG-10179,Ísis Fernandes,596.***.***-20,2027-11-10,"Transporte de Valores, Monitoramento de CFTV, Segurança Pessoal (VSPP)","Empatia, Proatividade, Pontualidade Extrema",Excelente pontualidade e assiduidade.,6.9,01415-000,12x36 Noite,Teixeira Santos S.A. - Unidade 2
VIG-10180,Bruna das Neves,109.***.***-01,2027-02-08,"Monitoramento de CFTV, Grandes Eventos","Perfil Analítico, Inteligência Emocional, Atenção Concentrada, Empatia, Proatividade","Focado e observador, antecipa riscos no perímetro.",9.4,08410-000,5x2 Comercial,Barros - Unidade 6
VIG-10181,Daniel da Conceição,896.***.***-30,2025-06-16,Grandes Eventos,"Comunicação Assertiva, Perfil Analítico, Resolução de Conflitos, Discrição, Inteligência Emocional",Excelente pontualidade e assiduidade.,9.8,01415-000,12x36 Noite,Correia S.A. - Unidade 6
VIG-10182,Joaquim Farias,948.***.***-89,2027-06-27,"Vigilância Patrimonial, Grandes Eventos, Segurança Pessoal (VSPP)","Proatividade, Liderança de Equipe, Resolução de Conflitos, Perfil Analítico, Empatia, Pontualidade Extrema",Possui postura exemplar e uniforme sempre impecável.,9.3,01001-000,12x36 Noite,Pereira - Unidade 7
VIG-10183,Lavínia Dias,134.***.***-07,2027-01-27,Vigilância Patrimonial,"Liderança de Equipe, Resolução de Conflitos","Focado e observador, antecipa riscos no perímetro.",8.7,05407-002,5x2 Comercial,Pinto - Unidade 7
VIG-10184,Lucas Gabriel Câmara,682.***.***-58,2026-11-21,"Monitoramento de CFTV, Transporte de Valores, Segurança Pessoal (VSPP)","Comunicação Assertiva, Atenção Concentrada, Empatia, Proatividade, Pontualidade Extrema, Liderança de Equipe",Profissional muito elogiado pelo cliente.,7.0,02011-000,12x36 Dia,Rios S.A. - Unidade 3
VIG-10185,Amanda Carvalho,487.***.***-14,2025-06-18,"Segurança Pessoal (VSPP), Transporte de Valores, Grandes Eventos","Proatividade, Liderança de Equipe",Excelente pontualidade e assiduidade.,7.4,04801-010,12x36 Noite,Rodrigues Pimenta S/A - Unidade 5
VIG-10186,Dr. João Felipe Novaes,846.***.***-31,2026-09-20,"Segurança Pessoal (VSPP), Vigilância Patrimonial, Escolta Armada","Proatividade, Atenção Concentrada, Pontualidade Extrema, Trabalho sob Pressão",Excelente pontualidade e assiduidade.,7.1,05407-002,12x36 Noite,Almeida Correia S/A - Unidade 1
VIG-10187,Luiz Henrique Novais,603.***.***-42,2025-10-14,"Vigilância Patrimonial, Monitoramento de CFTV","Resolução de Conflitos, Inteligência Emocional","Focado e observador, antecipa riscos no perímetro.",7.6,02011-000,5x2 Comercial,Pacheco Peixoto S/A - Unidade 4
VIG-10188,Enzo Gabriel Aparecida,658.***.***-60,2027-08-26,Monitoramento de CFTV,"Empatia, Trabalho sob Pressão, Pontualidade Extrema",Excelente pontualidade e assiduidade.,7.8,01202-001,12x36 Noite,Porto - Unidade 2
VIG-10189,Cecilia Alves,054.***.***-99,2025-11-15,"Segurança Pessoal (VSPP), Grandes Eventos","Comunicação Assertiva, Pontualidade Extrema, Proatividade, Liderança de Equipe, Inteligência Emocional",Excelente pontualidade e assiduidade.,9.8,01001-000,12x36 Dia,Pires Aragão - ME - Unidade 3
VIG-10190,Rael Brito,369.***.***-00,2027-09-13,"Monitoramento de CFTV, Vigilância Patrimonial","Trabalho sob Pressão, Proatividade, Liderança de Equipe",Demonstra facilidade em lidar com público diverso.,6.9,01001-000,12x36 Dia,Castro - Unidade 5
VIG-10191,Dra. Manuella Caldeira,309.***.***-98,2025-05-10,"Vigilância Patrimonial, Escolta Armada, Segurança Pessoal (VSPP)","Liderança de Equipe, Comunicação Assertiva, Trabalho sob Pressão, Atenção Concentrada",Excelente pontualidade e assiduidade.,7.9,01013-001,5x2 Comercial,Souza Moreira S.A. - Unidade 6
VIG-10192,Ravi Lucca Fogaça,390.***.***-78,2025-05-11,Transporte de Valores,"Discrição, Comunicação Assertiva",Demonstra facilidade em lidar com público diverso.,9.1,02011-000,5x2 Comercial,Ribeiro - Unidade 10
